,Chuyen muc,Nhu cau,Tinh/Thanh pho,Quan/huyen,Xa/Phuong,Duong/khu vuc,Gia,Ngay dang,Dien tich,Huong,So Tang,So phong,Nha ve sinh,Giay to phap,Dien thoai,Mo ta
0,Nhà,Cần bán,Đà Nẵng,Quận Thanh Khê,Phường Vĩnh Trung,"Đường Lê Duẩn, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng","2,2 tỷ",10/05/2021,47m²,,,2,,Đã có sổ,Đăng nhập để xem,
1,Nhà,Cần bán,Đà Nẵng,Quận Cẩm Lệ,Phường Hòa Thọ Tây,"29/xx, Đường Nguyễn Như Đãi, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng","1,45 tỷ",10/05/2021,90m²,Bắc,,3,1,Đã có sổ,Đăng nhập để xem,
2,Đất,Cần bán,Long An,Huyện Đức Hòa,Xã Mỹ Hạnh Nam,"Đường Nguyễn Văn Bứa, Xã Mỹ Hạnh Nam, Huyện Đức Hòa, Long An",550 triệu,10/05/2021,90m²,,,,,Đã có sổ,Đăng nhập để xem,
3,Nhà,Cần bán,Hồ Chí Minh,Quận 6,Phường 4,"Đường Phạm Văn Chí, Phường 4, Quận 6, Tp Hồ Chí Minh","9,5 tỷ",10/05/2021,120m²,,,2,2,Đã có sổ,Đăng nhập để xem,
4,Đất,Cần bán,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Xã Tân Hải,"Đường Quốc Lộ 51, Xã Tân Hải, Thị xã Phú Mỹ, Bà Rịa - Vũng Tàu","2,2 tỷ",10/05/2021,186m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
5,Nhà,Cần bán,Hà Nội,Quận Hoàng Mai,Phường Định Công,"Đường Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội","4,2 tỷ",10/05/2021,60m²,,4,4,3,Đã có sổ,Đăng nhập để xem,
6,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 14,"Đường Đồng Đen, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","4,35 tỷ",10/05/2021,36m²,,,3,3,Đã có sổ,Đăng nhập để xem,
7,Đất,Cần bán,Thừa Thiên Huế,Huyện Quảng Điền,Xã Quảng Vinh,"Nguyễn Vịnh, Xã Quảng Vinh, Huyện Quảng Điền, Thừa Thiên Huế",480 triệu,10/05/2021,82m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
8,Nhà,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Bà Điểm,"PHAN VĂN HỚN, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh",790 triệu,10/05/2021,80m²,,,2,1,Đã có sổ,Đăng nhập để xem,
9,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 8,Phường 6,"số 1A, số 1A Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",8 triệu/tháng,10/05/2021,85m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
10,Đất,Cần bán,Đồng Nai,Huyện Trảng Bom,Xã Sông Thao,"Đường Sông Thao Bau Ham, Xã Sông Thao, Huyện Trảng Bom, Đồng Nai",132 triệu,10/05/2021,115m²,,,,,,Đăng nhập để xem,
11,Đất,Cần bán,Tây Ninh,Huyện Châu Thành,Xã Phước Vinh,"Đường 781, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh",580.000 đ,10/05/2021,1.000m²,Đông Bắc,,,,Đã có sổ,Đăng nhập để xem,
12,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 9,"Đường Số 9, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh","4,7 tỷ",10/05/2021,56m²,Tây Bắc,1,3,3,Đã có sổ,Đăng nhập để xem,
13,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Tây,"Phạm Văn Đồng, Phường Linh Tây, Quận Thủ Đức, Tp Hồ Chí Minh","1,55 tỷ",10/05/2021,59m²,Nam,,2,2,Đã có sổ,Đăng nhập để xem,
14,Nhà,Cần mua,Hồ Chí Minh,Quận 10,,,5 tỷ,10/05/2021,80m²,,,1,,,Đăng nhập để xem,
15,Đất,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Thống Nhất,"Đường N3, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai","1,55 tỷ",10/05/2021,84m²,,,,,Đã có sổ,Đăng nhập để xem,
16,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 7,Phường Bình Thuận,"528, 528 Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",10 triệu/tháng,10/05/2021,65m²,,,2,2,,Đăng nhập để xem,
17,Nhà,Cho thuê,Hồ Chí Minh,Quận 10,Phường 12,"391/7, sư vạn hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",23 triệu/tháng,10/05/2021,80m²,Bắc,2,2,2,Đã có sổ,Đăng nhập để xem,
18,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 13,"39A, Lê Tấn Quốc, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","16,5 triệu/tháng",10/05/2021,88m²,,,4,3,,Đăng nhập để xem,
19,Đất,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Tam Bình,"Đường Gò Dưa, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh","9,9 tỷ",10/05/2021,87m²,,,,,Đã có sổ,Đăng nhập để xem,
20,Đất,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Tân Quý Tây,"Đường 234, Xã Tân Quý Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",16 tỷ,10/05/2021,1.600m²,,,,,Đã có sổ,Đăng nhập để xem,
21,Đất,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Phước Thạnh,"Đường 22, Xã Phước Thạnh, Huyện Củ Chi, Tp Hồ Chí Minh","2,9 tỷ",10/05/2021,200m²,,,,,Đã có sổ,Đăng nhập để xem,
22,Nhà,Cho thuê,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,"Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh",13 triệu/tháng,10/05/2021,189m²,,1,2,1,Đã có sổ,Đăng nhập để xem,
23,Đất,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Xã Ea Tu,"vành đai 14-26, Xã Ea Tu, Thành phố Buôn Ma Thuột, Đắk Lắk","1,55 tỷ",10/05/2021,422m²,Nam,,,,Đã có sổ,Đăng nhập để xem,
